NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
"Jaleel Johnson","NT","MIN","",57,46,58,33,26,48,"",42,37,27,36,38,48,30,36,49,30,654,40,60.89,
"Jurrell Casey","DT","DEN",1,57,51,48,"","","","","","","","","","","","","","",156,52,14.34,
"Nick Bosa","DE","SF",1,57,11,"","","","","","","","","","","","","","","",68,34,6.56,
"Tahir Whitehead","LB","CAR",1,57,44,50,30,35,38,42,43,14,30,"",1,"",8,"",5,1,398,28,37.58,
"Taven Bryan","DT","JAX",3,57,47,30,41,28,58,53,"",23,50,14,23,16,17,16,25,8,511,31,45.63,
"T.J. Watt","LB","PIT",1,57,66,39,"",50,51,49,79,66,50,36,51,67,64,53,64,"",855,57,83.41,
"Vita Vea","NT","TB",1,57,41,37,44,44,"","","","","","","","","","","","",223,44,20.98,
"Benardrick McKinney","IL","HOU",1,56,56,65,57,"","","","","","","","","","","","","",234,58,21.14,
"Buster Skrine","CB","CHI",1,56,43,43,49,54,48,41,54,30,34,"",54,50,"","","","",556,46,51.96,
"Jordan Poyer","SS","BUF",1,56,74,69,73,"",73,57,65,65,73,"",83,60,57,60,37,42,1010,63,94.3,
"Levi Wallace","CB","BUF",1,56,65,69,6,"","","",65,65,"","",80,60,25,45,34,42,612,51,57.14,
"Malcolm Butler","CB","TEN",1,56,72,64,"","",72,78,73,77,67,47,74,70,71,64,66,63,1085,67,97.14,
"Ndamukong Suh","DE","TB",1,56,55,45,45,53,43,43,53,53,42,62,50,"",54,42,34,56,786,49,73.94,
"Akiem Hicks","DT","CHI",1,55,51,56,55,57,59,58,68,50,38,"","",54,48,60,40,46,795,53,74.3,
"Chandler Jones","DE","ARI",1,55,60,66,77,29,"","","","","","","","","","","","",286,57,25.81,
"Emmanuel Ogbah","DE","MIA",1,55,44,53,48,43,53,"",69,54,52,49,39,42,49,33,59,50,792,49,76.67,
"L'Jarius Sneed","FS","KC",1,55,82,22,"","","","","","","",7,"","","","","","",643,64,64.3,
"Malik Jackson","DT","PHI",1,55,41,42,41,37,32,"",17,"",36,23,34,33,25,30,42,40,265,17,46.41,
"Marquise Blair","FS","SEA",2,55,7,"","","","","","","","","","","","","","","",63,31,10.28,
"Micah Hyde","FS","BUF",1,55,74,67,73,"",73,54,"",65,73,"",82,60,57,53,44,42,938,62,87.58,
"Stephon Tuitt","DE","PIT","",55,62,33,"",45,41,48,76,64,51,31,"",54,54,49,52,52,778,51,75.9,
